Relación de municipios y códigos por provincia e islas a 1 de enero de 2025;;;;;;
Illes Balears;;;;;;
CPRO;CISLA;ISLA;CMUN;DC;NOMBRE;
07;071;Formentera;024;4;Formentera;
07;072;Ibiza;026;0;Eivissa;
07;072;Ibiza;046;6;Sant Antoni de Portmany;
07;072;Ibiza;050;4;Sant Joan de Labritja;
07;072;Ibiza;048;8;Sant Josep de sa Talaia;
07;072;Ibiza;054;7;Santa Eulària des Riu;
07;073;Mallorca;001;2;Alaró;
07;073;Mallorca;003;3;Alcúdia;
07;073;Mallorca;004;8;Algaida;
07;073;Mallorca;005;1;Andratx;
07;073;Mallorca;901;3;Ariany;
07;073;Mallorca;006;4;Artà;
07;073;Mallorca;007;0;Banyalbufar;
07;073;Mallorca;008;6;Binissalem;
07;073;Mallorca;009;9;Búger;
07;073;Mallorca;010;3;Bunyola;
07;073;Mallorca;011;0;Calvià;
07;073;Mallorca;012;5;Campanet;
07;073;Mallorca;013;1;Campos;
07;073;Mallorca;014;6;Capdepera;
07;073;Mallorca;016;2;Consell;
07;073;Mallorca;017;8;Costitx;
07;073;Mallorca;018;4;Deià;
07;073;Mallorca;019;7;Escorca;
07;073;Mallorca;020;1;Esporles;
07;073;Mallorca;021;8;Estellencs;
07;073;Mallorca;022;3;Felanitx;
07;073;Mallorca;025;7;Fornalutx;
07;073;Mallorca;027;6;Inca;
07;073;Mallorca;028;2;Lloret de Vistalegre;
07;073;Mallorca;029;5;Lloseta;
07;073;Mallorca;030;9;Llubí;
07;073;Mallorca;031;6;Llucmajor;
07;073;Mallorca;033;7;Manacor;
07;073;Mallorca;034;2;Mancor de la Vall;
07;073;Mallorca;035;5;Maria de la Salut;
07;073;Mallorca;036;8;Marratxí;
07;073;Mallorca;038;0;Montuïri;
07;073;Mallorca;039;3;Muro;
07;073;Mallorca;040;7;Palma;
07;073;Mallorca;041;4;Petra;
07;073;Mallorca;044;0;Pobla, Sa;
07;073;Mallorca;042;9;Pollença;
07;073;Mallorca;043;5;Porreres;
07;073;Mallorca;045;3;Puigpunyent;
07;073;Mallorca;059;8;Salines, Ses;
07;073;Mallorca;049;1;Sant Joan;
07;073;Mallorca;051;1;Sant Llorenç des Cardassar;
07;073;Mallorca;053;2;Santa Eugènia;
07;073;Mallorca;055;0;Santa Margalida;
07;073;Mallorca;056;3;Santa María del Camí;
07;073;Mallorca;057;9;Santanyí;
07;073;Mallorca;058;5;Selva;
07;073;Mallorca;047;2;Sencelles;
07;073;Mallorca;060;2;Sineu;
07;073;Mallorca;061;9;Sóller;
07;073;Mallorca;062;4;Son Servera;
07;073;Mallorca;063;0;Valldemossa;
07;073;Mallorca;065;8;Vilafranca de Bonany;
07;074;Menorca;002;7;Alaior;
07;074;Menorca;064;5;Castell, Es;
07;074;Menorca;015;9;Ciutadella de Menorca;
07;074;Menorca;023;9;Ferreries;
07;074;Menorca;032;1;Maó;
07;074;Menorca;037;4;Mercadal, Es;
07;074;Menorca;902;8;Migjorn Gran, Es;
07;074;Menorca;052;6;Sant Lluís;
