Relación de municipios y códigos por provincia e islas a 1 de enero de 2025;;;;;
Las Palmas;;;;;
CPRO;CISLA;ISLA;CMUN;DC;NOMBRE
35;351;Fuerteventura;003;8;Antigua
35;351;Fuerteventura;007;5;Betancuria
35;351;Fuerteventura;014;1;Oliva, La
35;351;Fuerteventura;015;4;Pájara
35;351;Fuerteventura;017;3;Puerto del Rosario
35;351;Fuerteventura;030;4;Tuineje
35;352;Gran Canaria;001;7;Agaete
35;352;Gran Canaria;002;2;Agüimes
35;352;Gran Canaria;020;6;Aldea de San Nicolás, La
35;352;Gran Canaria;005;6;Artenara
35;352;Gran Canaria;006;9;Arucas
35;352;Gran Canaria;008;1;Firgas
35;352;Gran Canaria;009;4;Gáldar
35;352;Gran Canaria;011;5;Ingenio
35;352;Gran Canaria;012;0;Mogán
35;352;Gran Canaria;013;6;Moya
35;352;Gran Canaria;016;7;Palmas de Gran Canaria, Las
35;352;Gran Canaria;019;2;San Bartolomé de Tirajana
35;352;Gran Canaria;021;3;Santa Brígida
35;352;Gran Canaria;022;8;Santa Lucía de Tirajana
35;352;Gran Canaria;023;4;Santa María de Guía de Gran Canaria
35;352;Gran Canaria;025;2;Tejeda
35;352;Gran Canaria;026;5;Telde
35;352;Gran Canaria;027;1;Teror
35;352;Gran Canaria;032;6;Valleseco
35;352;Gran Canaria;031;1;Valsequillo de Gran Canaria
35;352;Gran Canaria;033;2;Vega de San Mateo
35;353;Lanzarote;004;3;Arrecife
35;353;Lanzarote;010;8;Haría
35;353;Lanzarote;018;9;San Bartolomé
35;353;Lanzarote;024;9;Teguise
35;353;Lanzarote;028;7;Tías
35;353;Lanzarote;029;0;Tinajo
35;353;Lanzarote;034;7;Yaiza
